"rules","support","confidence","coverage","lift","count"
"{оперативка,плата} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{клавиатура,плата} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{клавиатура,процессор} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{стиралка,телефон} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{клавиатура,оперативка} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{ноутбук,телефон} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{духовка,печка} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{клавиатура,печка} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{коврик,ноутбук,телефон} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{клавиатура,компьютер,печка} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{кран,стиралка,телефон} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{оперативка,плата,процессор} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{клавиатура,плата,процессор} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{клавиатура,оперативка,плата} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{клавиатура,оперативка,процессор} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
"{клавиатура,оперативка,плата,процессор} => {мышь}",0.0666666666666667,1,0.0666666666666667,2.5,1
